name;market_value;position;injury_tolerance;extrafield_factor;overall
Martial;70;Striker;3;2;84
Ibrahimovic;30;Striker;2;4;83
Marcelo;20;Left/Right Back;2;2;83
Firmino;90;Striker;5;1;87
Navas;60;Goalkeeper;1;7;87
Suarez;40;Striker;3;6;87
Neymar;120;Striker;4;3;92
Ramos;50;Center Back;3;2;89
Icardi;80;Striker;2;5;85
Douglas Costa;40;Striker;2;1;84
Arthur;60;Midfielder;3;4;84
Nainggolan;20;Midfielder;4;7;83
Gabriel Jesus;70;Striker;3;2;83
Dembelé;100;Striker;6;1;83
Buffon;10;Goalkeeper;1;2;82
Lucas Hernandez;60;Center Back;2;3;82
Felipe Anderson;40;Midfielder;2;1;81
Messi;150;Striker;1;2;93
Lewandowski;80;Striker;3;2;91
Van Dijk;90;Center Back;2;2;90
